Symbol,Series,ISIN
CYBERMEDIA,BE,INE278G01037
CYBERTECH,EQ,INE214A01019
CYIENT,EQ,INE136B01020
DAAWAT,EQ,INE818H01020
DABUR,EQ,INE016A01026
DALMIABHA,EQ,INE439L01019
DALMIASUG,EQ,INE495A01022
DAMODARIND,EQ,INE497D01014
DATAMATICS,EQ,INE365B01017
DBCORP,EQ,INE950I01011
DBL,EQ,INE917M01012
DBREALTY,EQ,INE879I01012
DCAL,EQ,INE385W01011
DCBBANK,EQ,INE503A01015
DCM,EQ,INE498A01018
DCMSHRIRAM,EQ,INE499A01024
DCW,EQ,INE500A01029
DECCANCE,EQ,INE583C01021
DEEPAKFERT,EQ,INE501A01019
DEEPAKNTR,EQ,INE288B01029
DEEPIND,EQ,INE677H01012
DELTACORP,EQ,INE124G01033
DELTAMAGNT,EQ,INE393A01011
DEN,EQ,INE947J01015
DENABANK,EQ,INE077A01010
DENORA,EQ,INE244A01016
DEVIT,SM,INE060X01018
DFMFOODS,EQ,INE456C01012
DHAMPURSUG,EQ,INE041A01016
DHANBANK,EQ,INE680A01011
DHANUKA,EQ,INE435G01025
DHARSUGAR,EQ,INE988C01014
DHFL,EQ,INE202B01012
DHFL,N6,INE202B07HP2
DHFL,NC,INE202B07HV0
DHFL,NL,INE202B07IK1
DHFL,NP,INE202B07IO3
DHUNINV,EQ,INE320L01011
DIAMONDYD,EQ,INE393P01035
DIAPOWER,EQ,INE989C01012
DICIND,EQ,INE303A01010
DIGJAMLTD,EQ,INE731U01010
DISHTV,EQ,INE836F01026
DIVISLAB,EQ,INE361B01024
DIXON,EQ,INE935N01012
DLF,EQ,INE271C01023
DLINKINDIA,EQ,INE250K01012
DMART,EQ,INE192R01011
DOLLAR,EQ,INE325C01035
DOLPHINOFF,EQ,INE920A01011
DONEAR,EQ,INE668D01028
DPL,BE,INE477B01010
DPSCLTD,EQ,INE360C01024
DPWIRES,SM,INE864X01013
DQE,EQ,INE656K01010
DREDGECORP,EQ,INE506A01018
DRL,SM,INE704V01015
DRREDDY,EQ,INE089A01023
DSKULKARNI,BE,INE891A01014
DSSL,EQ,INE417B01040
DTIL,EQ,INE341R01014
DUCON,EQ,INE741L01018
DWARKESH,EQ,INE366A01041
DYNAMATECH,EQ,INE221B01012
DYNPRO,EQ,INE256H01015
EASTSILK,BE,INE962C01027
EASUNREYRL,EQ,INE268C01029
ECEIND,EQ,INE588B01014
ECLERX,EQ,INE738I01010
ECLFINANCE,N3,INE804I07SI2
ECLFINANCE,N5,INE804I08601
EDELWEISS,EQ,INE532F01054
EDL,EQ,INE180G01019
EDUCOMP,BZ,INE216H01027
EHFLNCD,N1,INE530L07178
EHFLNCD,N5,INE530L07210
EHFLNCD,N6,INE530L07228
EICHERMOT,EQ,INE066A01013
EIDPARRY,EQ,INE126A01031
EIFFL,SM,INE546V01010
EIHAHOTELS,EQ,INE276C01014
EIHOTEL,EQ,INE230A01023
EIMCOELECO,EQ,INE158B01016
EKC,EQ,INE184H01027
ELAND,EQ,INE311H01018
ELECON,EQ,INE205B01023
ELECTCAST,EQ,INE086A01029
ELECTHERM,EQ,INE822G01016
ELGIEQUIP,EQ,INE285A01027
ELGIRUBCO,EQ,INE819L01012
EMAMIINFRA,EQ,INE778K01012
EMAMILTD,EQ,INE548C01032
EMCO,BE,INE078A01026
EMKAY,EQ,INE296H01011
EMMBI,EQ,INE753K01015
ENDURANCE,EQ,INE913H01037
ENERGYDEV,EQ,INE306C01019
ENGINERSIN,EQ,INE510A01028
ENIL,EQ,INE265F01028
EON,EQ,INE076H01025
EQ30,EQ,INF754K01EM9
EQUITAS,EQ,INE988K01017
ERIS,EQ,INE406M01024
EROSMEDIA,EQ,INE416L01017
ESABINDIA,EQ,INE284A01012
ESCORTS,EQ,INE042A01014
ESL,EQ,INE481K01013
ESSARSHPNG,EQ,INE122M01019
ESSDEE,BE,INE825H01017
ESSELPACK,EQ,INE255A01020
ESTER,EQ,INE778B01029
EUROCERA,EQ,INE649H01011
EUROMULTI,BE,INE063J01011
EUROTEXIND,EQ,INE022C01012
EVEREADY,EQ,INE128A01029
EVERESTIND,EQ,INE295A01018
EXCEL,EQ,INE688J01015
EXCELCROP,EQ,INE223G01017
EXCELINDUS,EQ,INE369A01029
EXIDEIND,EQ,INE302A01020
FACT,EQ,INE188A01015
FAIRCHEM,EQ,INE959A01019
FCL,EQ,INE045J01026
FCONSUMER,EQ,INE220J01025
FDC,EQ,INE258B01022
FEDDERELEC,EQ,INE249C01011
FEDERALBNK,EQ,INE171A01029
FEL,EQ,INE623B01027
FELDVR,EQ,IN9623B01058
FIEMIND,EQ,INE737H01014
FILATEX,EQ,INE816B01019
FINCABLES,EQ,INE235A01022
FINPIPE,EQ,INE183A01016
FLEXITUFF,EQ,INE060J01017
FLFL,EQ,INE452O01016
FMGOETZE,EQ,INE529A01010
FMNL,EQ,INE360L01017
FORGE,SM,INE319Y01016
FORTIS,EQ,INE061F01013
FORTUNEFIN,EQ,INE924D01017
FOSECOIND,EQ,INE519A01011
FOURTHDIM,SM,INE382T01014
FRETAIL,EQ,INE752P01024
FSL,EQ,INE684F01012
GABRIEL,EQ,INE524A01029
GAEL,EQ,INE036B01022
GAIL,EQ,INE129A01019
GAL,EQ,INE482J01021
GAMMNINFRA,EQ,INE181G01025
GAMMONIND,BZ,INE259B01020
GANDHITUBE,EQ,INE524B01027
GANECOS,EQ,INE845D01014
GANESHHOUC,EQ,INE460C01014
GANGESSECU,BE,INE335W01016
GANGOTRI,BZ,INE670B01028
GARDENSILK,EQ,INE526A01016
GARWALLROP,EQ,INE276A01018
GATI,EQ,INE152B01027
GAYAPROJ,EQ,INE336H01023
GDL,EQ,INE852F01015
GEECEE,EQ,INE916G01016
GEEKAYWIRE,SM,INE669X01016
GEMINI,BE,INE878C01033
GENESYS,EQ,INE727B01026
GENUSPAPER,EQ,INE949P01018
GENUSPOWER,EQ,INE955D01029
GEOJITFSL,EQ,INE007B01023
GEPIL,EQ,INE878A01011
GESHIP,EQ,INE017A01032
GET&D,EQ,INE200A01026
GHCL,EQ,INE539A01019
GICHSGFIN,EQ,INE289B01019
GILLANDERS,EQ,INE047B01011
GILLETTE,EQ,INE322A01010
GINNIFILA,EQ,INE424C01010
GIPCL,EQ,INE162A01010
GITANJALI,EQ,INE346H01014
GKWLIMITED,EQ,INE528A01020
GLAXO,EQ,INE159A01016
GLENMARK,EQ,INE935A01035
GLOBAL,SM,INE291W01011
GLOBALVECT,EQ,INE792H01019
GLOBE,SM,INE581X01013
